# POINTS: 40
depth   temperature
2365.4  300	
15506	750.32
30720.1	1493.11
57697.3	1572.53
81213	1619.87
98510.5	1702.36
121342	1800.11
143479	1879.53
167688	1943.68
192589	2009.35
227171	2079.6
282499	2166.64
335749	2230.76
369634	2267.4
401445	2294.88
431875	2342.22
469220	2394.13
518320	2450.62
556049.118	2498.58
629267.721	2661.21
711887.868	2806.21
815181.176	2957.52
889367.868	3054.62
984221.324	3165.6
1074379.338	3270.28
1157029.338	3356.05
1250019.118	3430.48
1355225.147	3500.00
1444464.118	3500.00
1548736.176	3500.00
1653948.603	3500.00
1779838.456	3500.00
1943308.897	3500.00
2058867.5	3500.00
2182880.882	3500.00
2329458.824	3500.00
2460982.353	3500.00
2588774.265	3500.00
2733475.735	3500.00
2898839.706	3500.00
